category,week_end,amount_weekly
others,2016-10-17,249.0
others,2016-10-24,0.0
others,2016-10-31,1957.2
others,2016-11-07,0.0
others,2016-11-14,0.0
others,2016-11-21,865.0
others,2016-11-28,20508.0
others,2016-12-05,560.0
others,2016-12-12,0.0
others,2016-12-19,2459.0
others,2016-12-26,2159.0
others,2017-01-02,6120.0
others,2017-01-09,0.0
others,2017-01-16,2450.0
others,2017-01-23,2794.0
others,2017-01-30,0.0
others,2017-02-06,0.0
others,2017-02-13,0.0
others,2017-02-20,1446.0
others,2017-02-27,12311.0
others,2017-03-06,400.0
others,2017-03-13,2100.0
others,2017-03-20,911.0
others,2017-03-27,6334.0
others,2017-04-03,2745.0
others,2017-04-10,0.0
others,2017-04-17,6497.0
others,2017-04-24,831.68
others,2017-05-01,385.0
others,2017-05-08,0.0
others,2017-05-15,50.0
others,2017-05-22,347.0
others,2017-05-29,1167.0
others,2017-06-05,930.0
others,2017-06-12,0.0
others,2017-06-19,216.0
others,2017-06-26,2435.0
others,2017-07-03,8372.0
others,2017-07-10,0.0
others,2017-07-17,63.0
others,2017-07-24,4045.0
others,2017-07-31,27973.0
others,2017-08-07,0.0
others,2017-08-14,432.0
others,2017-08-21,4026.0
others,2017-08-28,13898.0
others,2017-09-04,139.7
others,2017-09-11,0.0
others,2017-09-18,1401.0
others,2017-09-25,880.0
others,2017-10-02,1541.0
others,2017-10-09,0.0
others,2017-10-16,70.0
others,2017-10-23,4493.0
others,2017-10-30,0.0
others,2017-11-06,0.0
others,2017-11-13,448.0
others,2017-11-20,2827.0
others,2017-11-27,4662.0
others,2017-12-04,33687.0
others,2017-12-11,0.0
others,2017-12-18,1318.0
others,2017-12-25,2880.0
others,2018-01-01,632.0
others,2018-01-08,0.0
others,2018-01-15,1817.0
others,2018-01-22,592.0
others,2018-01-29,3060.9
others,2018-02-05,110.0
others,2018-02-12,0.0
others,2018-02-19,3885.0
others,2018-02-26,2868.0
others,2018-03-05,38.0
others,2018-03-12,0.0
others,2018-03-19,1917.0
others,2018-03-26,358.0
others,2018-04-02,0.0
others,2018-04-09,0.0
others,2018-04-16,3200.0
others,2018-04-23,742.0
others,2018-04-30,2460.0
others,2018-05-07,0.0
others,2018-05-14,129.0
others,2018-05-21,21787.0
others,2018-05-28,329.0
others,2018-06-04,0.0
others,2018-06-11,0.0
others,2018-06-18,0.0
others,2018-06-25,4285.75
others,2018-07-02,22993.67
others,2018-07-09,0.0
others,2018-07-16,4534.497451952816
others,2018-07-23,1471.3621913396119
others,2018-07-30,5373.810218664013
others,2018-08-06,31415.491738043565
others,2018-08-13,914.0
others,2018-08-20,246.0
others,2018-08-27,91.0
others,2018-09-03,1461.0
others,2018-09-10,0.0
others,2018-09-17,83.0
transportation,2015-01-19,950.0
transportation,2015-01-26,402.0
transportation,2015-02-02,100.0
transportation,2015-02-09,0.0
transportation,2015-02-16,79.0
transportation,2015-02-23,566.0
transportation,2015-03-02,126.0
transportation,2015-03-09,0.0
transportation,2015-03-16,10.0
transportation,2015-03-23,0.0
transportation,2015-03-30,0.0
transportation,2015-04-06,0.0
transportation,2015-04-13,0.0
transportation,2015-04-20,0.0
transportation,2015-04-27,0.0
transportation,2015-05-04,0.0
transportation,2015-05-11,0.0
transportation,2015-05-18,6000.0
transportation,2015-05-25,0.0
transportation,2015-06-01,0.0
transportation,2015-06-08,0.0
transportation,2015-06-15,0.0
transportation,2015-06-22,0.0
transportation,2015-06-29,0.0
transportation,2015-07-06,0.0
transportation,2015-07-13,0.0
transportation,2015-07-20,0.0
transportation,2015-07-27,0.0
